id,shape,carat,style,gold,image,image_filename,category
1,round,0.25,ring,rose,https://geer.in/cdn/shop/files/GJLR-001_R1.jpg?v=1750412031,1_GJLR-001_R1.jpg,ring
2,round,0.66,ring,rose,https://geer.in/cdn/shop/files/GJLR-049_R1.jpg?v=1750408611,2_GJLR-049_R1.jpg,ring
3,,0.29,solitaire,rose,https://geer.in/cdn/shop/files/GJLR-117_R1.jpg?v=1750506042,3_GJLR-117_R1.jpg,ring
4,emerald,0.6,ring,rose,https://geer.in/cdn/shop/files/GJLR-002_R1.jpg?v=1750411978,4_GJLR-002_R1.jpg,ring
5,round,0.23,ring,rose,https://geer.in/cdn/shop/files/GJLR-084_R1.jpg?v=1750406726,5_GJLR-084_R1.jpg,ring
6,round,1.5,solitaire,rose,https://geer.in/cdn/shop/files/GJLR-025_R1.jpg?v=1750410377,6_GJLR-025_R1.jpg,ring
7,round,0.42,ring,rose,https://geer.in/cdn/shop/files/GJLR-014_R1.jpg?v=1750411634,7_GJLR-014_R1.jpg,ring
1,round,0.25,ring,rose,https://geer.in/cdn/shop/files/GJLR-001_R1.jpg?v=1750412031,1_GJLR-001_R1.jpg,ring
2,round,0.66,ring,rose,https://geer.in/cdn/shop/files/GJLR-049_R1.jpg?v=1750408611,2_GJLR-049_R1.jpg,ring
8,round,1.0,solitaire,yellow,https://geer.in/cdn/shop/files/GJLR-005_Y1.jpg?v=1750239821,8_GJLR-005_Y1.jpg,ring
3,,0.29,solitaire,rose,https://geer.in/cdn/shop/files/GJLR-117_R1.jpg?v=1750506042,3_GJLR-117_R1.jpg,ring
4,emerald,0.6,ring,rose,https://geer.in/cdn/shop/files/GJLR-002_R1.jpg?v=1750411978,4_GJLR-002_R1.jpg,ring
9,round,1.34,ring,white,https://geer.in/cdn/shop/files/GJLR-103_W1.jpg?v=1750401656,9_GJLR-103_W1.jpg,ring
10,round,0.32,ring,rose,https://geer.in/cdn/shop/files/GJLR-062_R1.jpg?v=1750408162,10_GJLR-062_R1.jpg,ring
5,round,0.23,ring,rose,https://geer.in/cdn/shop/files/GJLR-084_R1.jpg?v=1750406726,5_GJLR-084_R1.jpg,ring
6,round,1.5,solitaire,rose,https://geer.in/cdn/shop/files/GJLR-025_R1.jpg?v=1750410377,6_GJLR-025_R1.jpg,ring
11,round,0.32,ring,rose,https://geer.in/cdn/shop/files/GJLR-043_R1.jpg?v=1750409676,11_GJLR-043_R1.jpg,ring
12,round,0.33,ring,rose,https://geer.in/cdn/shop/files/GJLR-048.jpg?v=1750408756,12_GJLR-048.jpg,ring
7,round,0.42,ring,rose,https://geer.in/cdn/shop/files/GJLR-014_R1.jpg?v=1750411634,7_GJLR-014_R1.jpg,ring
13,round,0.39,ring,rose,https://geer.in/cdn/shop/files/GJLR-045_R1.jpg?v=1750409126,13_GJLR-045_R1.jpg,ring
14,,0.26,ring,rose,https://geer.in/cdn/shop/files/GJLR-151_R1.jpg?v=1750401675,14_GJLR-151_R1.jpg,ring
8,round,1.0,solitaire,yellow,https://geer.in/cdn/shop/files/GJLR-005_Y1.jpg?v=1750239821,8_GJLR-005_Y1.jpg,ring
9,round,1.34,ring,white,https://geer.in/cdn/shop/files/GJLR-103_W1.jpg?v=1750401656,9_GJLR-103_W1.jpg,ring
10,round,0.32,ring,rose,https://geer.in/cdn/shop/files/GJLR-062_R1.jpg?v=1750408162,10_GJLR-062_R1.jpg,ring
15,,1.17,solitaire,rose,https://geer.in/cdn/shop/files/GJLR-153_R1.jpg?v=1750401733,15_GJLR-153_R1.jpg,ring
11,round,0.32,ring,rose,https://geer.in/cdn/shop/files/GJLR-043_R1.jpg?v=1750409676,11_GJLR-043_R1.jpg,ring
12,round,0.33,ring,rose,https://geer.in/cdn/shop/files/GJLR-048.jpg?v=1750408756,12_GJLR-048.jpg,ring
16,round,1.37,halo,rose,https://geer.in/cdn/shop/files/GJLR-089_R1.jpg?v=1750331630,16_GJLR-089_R1.jpg,ring
13,round,0.39,ring,rose,https://geer.in/cdn/shop/files/GJLR-045_R1.jpg?v=1750409126,13_GJLR-045_R1.jpg,ring
14,,0.26,ring,rose,https://geer.in/cdn/shop/files/GJLR-151_R1.jpg?v=1750401675,14_GJLR-151_R1.jpg,ring
17,,1.05,solitaire,rose,https://geer.in/cdn/shop/files/GJLR-161_R1.jpg?v=1750393174,17_GJLR-161_R1.jpg,ring
15,,1.17,solitaire,rose,https://geer.in/cdn/shop/files/GJLR-153_R1.jpg?v=1750401733,15_GJLR-153_R1.jpg,ring
18,heart,0.86,ring,yellow,https://geer.in/cdn/shop/files/GJLR-178_Y1.jpg?v=1751616781,18_GJLR-178_Y1.jpg,ring
19,pear,1.98,ring,yellow,https://geer.in/cdn/shop/files/AILR-136_Y1_0fb172b1-cf2e-4307-b59b-80038c1ec31f.jpg?v=1751001111,19_AILR-136_Y1_0fb172b1-cf2e-4307-b59b-80038c1ec31f.jpg,ring
16,round,1.37,halo,rose,https://geer.in/cdn/shop/files/GJLR-089_R1.jpg?v=1750331630,16_GJLR-089_R1.jpg,ring
20,,2.05,solitaire,yellow,https://geer.in/cdn/shop/files/GJLR-152_Y1.jpg?v=1750236207,20_GJLR-152_Y1.jpg,ring
17,,1.05,solitaire,rose,https://geer.in/cdn/shop/files/GJLR-161_R1.jpg?v=1750393174,17_GJLR-161_R1.jpg,ring
18,heart,0.86,ring,yellow,https://geer.in/cdn/shop/files/GJLR-178_Y1.jpg?v=1751616781,18_GJLR-178_Y1.jpg,ring
21,,1.02,eternity,rose,https://geer.in/cdn/shop/files/GJLR-210_R1.jpg?v=1750335773,21_GJLR-210_R1.jpg,ring
